Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
183.0,UNOMINDA,UNO Minda Limited,3931359.5916375
184.0,PAGEIND,Page Industries Limited,3842615.554803
185.0,MRPL,Mangalore Refinery and Petrochemicals Limited,3830304.6271335
186.0,AUBANK,AU Small Finance Bank Limited,3780652.3
187.0,MAZDOCK,Mazagon Dock Shipbuilders Limited,3759703.29
188.0,HUDCO,Housing & Urban Development Corporation Limited,3748557.75
189.0,GUJGASLTD,Gujarat Gas Limited,3746563.2553125
190.0,NIACL,The New India Assurance Company Limited,3742608
191.0,CRISIL,CRISIL Limited,3705605.94824
192.0,AIAENG,AIA Engineering Limited,3692878.286425
193.0,FEDERALBNK,The Federal Bank  Limited,3658946.703472
194.0,IREDA,Indian Renewable Energy Development Agency Limited,3652672.235454
195.0,VOLTAS,Voltas Limited,3651478.54827
196.0,DALBHARAT,Dalmia Bharat Limited,3642456.2766234996
197.0,POONAWALLA,Poonawalla Fincorp Limited,3604840.753392
198.0,MEDANTA,Global Health Limited,3546856.817293
199.0,IRB,IRB Infrastructure Developers Limited,3535834.5
200.0,3MINDIA,3M India Limited,3513952.712845
201.0,MFSL,Max Financial Services Limited,3458740.234962
202.0,M&MFIN,Mahindra & Mahindra Financial Services Limited,3444657.41696
203.0,UPL,UPL Limited,3422770.84296
204.0,HONAUT,Honeywell Automation India Limited,3420542.1068175
205.0,BSE,BSE Limited,3405933.8160809996
206.0,FLUOROCHEM,Gujarat Fluorochemicals Limited,3402438.975
207.0,COFORGE,Coforge Limited,3401423.1597645003
208.0,LICHSGFIN,LIC Housing Finance Limited,3360609.8985
209.0,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,3297657.857844
210.0,DELHIVERY,Delhivery Limited,3282746.7036525
211.0,BDL,Bharat Dynamics Limited,3210904.21875
212.0,STARHEALTH,Star Health and Allied Insurance Company Limited,3180722.5340445
213.0,FORTIS,Fortis Healthcare Limited,3172334.137896
214.0,BIOCON,Biocon Limited,3171384.9
215.0,COROMANDEL,Coromandel International Limited,3165409.1382345003
216.0,NLCINDIA,NLC India Limited,3162918.1051290003
217.0,TATAINVEST,Tata Investment Corporation Limited,3159144.984592
218.0,JKCEMENT,JK Cement Limited,3149569.8131365003
219.0,IPCALAB,IPCA Laboratories Limited,3139335.993532
220.0,METROBRAND,Metro Brands Limited,3137623.560708
221.0,KEI,KEI Industries Limited,3122173.2719240002
222.0,ESCORTS,Escorts Kubota Limited,3068868.202753
223.0,LLOYDSME,Lloyds Metals And Energy Limited,3041626.2807
224.0,GLAND,Gland Pharma Limited,3039276.6396575
225.0,IGL,Indraprastha Gas Limited,3015603.4464
226.0,NAM-INDIA,Nippon Life India Asset Management Limited,2968239.016395
227.0,APOLLOTYRE,Apollo Tyres Limited,2962428.362617
228.0,JUBLFOOD,Jubilant Foodworks Limited,2961715.1802
229.0,POWERINDIA,Hitachi Energy India Limited,2954723.235975
230.0,MSUMI,Motherson Sumi Wiring India Limited,2922352.3430520003
231.0,BANDHANBNK,Bandhan Bank Limited,2899652.6862
232.0,DEEPAKNTR,Deepak Nitrite Limited,2899034.086455
233.0,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2879459.443248
234.0,AJANTPHARM,Ajanta Pharma Limited,2858280.0203175
235.0,KPRMILL,K.P.R. Mill Limited,2845430.643
236.0,SYNGENE,Syngene International Limited,2824356.3825
237.0,EIHOTEL,EIH Limited,2811011.99809
238.0,APARINDS,Apar Industries Limited,2803306.535535
239.0,NATIONALUM,National Aluminium Company Limited,2801781.7910685
240.0,TATACHEM,Tata Chemicals Limited,2753660.608902
241.0,GLENMARK,Glenmark Pharmaceuticals Limited,2704632.381182
242.0,HINDCOPPER,Hindustan Copper Limited,2688810.28761
